,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,full_time_position,case_status,Age_of_est,annual_wage,hourly_wage,weekly_wage,monthly_wage,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Bachelor's,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,region_of_employment_Island,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Hour,unit_of_wage_Month,unit_of_wage_Week,unit_of_wage_Year
0,0,0,9.582868979838082,7.60489448081162,1,Denied,2.302585092994046,14.023973297176736,6.38553649899087,10.072770981133676,11.539075577492982,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,7.7886260656250315,7.602401335665818,1,Approved,2.70805020110221,11.331723081667919,3.716214561917522,7.381090491758279,8.846948275539898,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0,1,10.702007748675776,7.605392364814935,1,Denied,2.1972245773362196,11.719922235829218,4.096560534627822,7.769093072668244,9.235105014492662,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3,0,0,4.59511985013459,7.5485559791698735,1,Denied,4.787491742782046,11.331823524142274,3.7163125623348625,7.381190872871191,8.847048704773087,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
4,1,0,6.9874902470009905,7.603897968521881,1,Approved,2.4849066497880004,11.91777965317149,4.291429663165319,7.966876084508748,9.432946378839258,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,1,0,7.757906208351747,7.607381425639791,1,Approved,1.6094379124341003,11.267704235392829,3.653801896227201,7.3171120355629276,8.782938145165001,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
6,0,0,8.514389264083503,7.598399329323964,1,Approved,3.1354942159291497,10.889983034608834,3.287888516671549,6.939689711249022,8.405281448438812,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
7,1,0,8.01829613851552,7.562681246721884,1,Denied,4.532599493153256,13.676155364455578,6.038419218266475,9.724970270304736,11.191261359443306,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
8,0,0,8.478660241699453,7.607381425639791,1,Approved,1.6094379124341003,11.216716340323512,3.6041668751699514,7.266158209860353,8.731957602244323,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
9,1,0,7.719573989259581,7.59890045687141,1,Approved,3.091042453358316,11.120116331089543,3.5103213834365903,7.169627706541352,8.635372592953729,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
10,0,0,7.81035268372429,7.60339933974067,1,Approved,2.5649493574615367,11.333673910891813,3.718118003436971,7.3830401302998,8.84889884782695,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
