,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
0,Asia,High School,N,N,14513,2007,West,592.2029,Hour,Y,Denied
1,Asia,Master's,Y,N,2412,2002,Northeast,83425.65,Year,Y,Certified
2,Asia,Bachelor's,N,Y,44444,2008,West,122996.86,Year,Y,Denied
3,Asia,Bachelor's,N,N,98,1897,West,83434.03,Year,Y,Denied
4,Africa,Master's,Y,N,1082,2005,South,149907.39,Year,Y,Certified
5,Asia,Master's,Y,N,2339,2012,South,78252.14,Year,Y,Certified
6,Asia,Bachelor's,N,N,4985,1994,South,53635.39,Year,Y,Certified
7,North America,Bachelor's,Y,N,3035,1924,West,418.2298,Hour,Y,Denied
8,Asia,Bachelor's,N,N,4810,2012,Midwest,74362.19,Year,Y,Certified
9,Europe,Doctorate,Y,N,2251,1995,South,67514.76,Year,Y,Certified
10,Asia,Master's,N,N,2465,2004,Midwest,83588.56,Year,Y,Certified
11,Asia,High School,Y,N,4069,2005,Northeast,70813.09,Year,Y,Denied
12,Asia,Bachelor's,Y,N,123876,1963,Northeast,28663.05,Year,Y,Certified
13,Asia,Bachelor's,Y,N,1652,2007,Midwest,107196.03,Year,Y,Certified
14,Asia,Master's,Y,Y,15756,2006,South,220081.73,Year,Y,Certified
15,Asia,High School,Y,N,4897,1987,West,74108.02,Year,Y,Denied
16,Europe,Master's,Y,N,76638,1991,Midwest,3706.79,Year,Y,Certified
17,Asia,Master's,Y,N,2747,2001,West,16132.61,Year,Y,Certified
18,Africa,Master's,Y,N,4743,2004,Midwest,150441.13,Year,Y,Certified
19,Asia,Doctorate,N,N,843,1972,Midwest,79948.12,Year,Y,Certified
20,Asia,Master's,N,N,880,2008,West,71128.98,Year,Y,Denied
21,North America,Master's,Y,N,1706,2013,Midwest,137694.98,Year,N,Certified
22,Asia,Master's,Y,N,2878,1968,West,45642.39,Year,Y,Certified
23,North America,High School,N,N,1517,1884,Midwest,90108.38,Year,N,Certified
24,Europe,Doctorate,Y,N,241,1981,Midwest,71286.04,Year,Y,Certified
25,North America,Master's,N,N,1100,1997,Midwest,99489.65,Year,Y,Certified
26,Asia,Bachelor's,Y,N,756,1995,South,86332.95,Year,Y,Certified
27,Asia,High School,Y,Y,2889,2005,South,103029.33,Year,Y,Certified
28,Asia,Master's,Y,N,18,2004,Northeast,40925.86,Year,Y,Certified
29,Asia,Bachelor's,Y,N,758,2009,Northeast,189190.48,Year,Y,Certified
30,Asia,Master's,Y,N,1408,1998,Midwest,79594.12,Year,N,Certified
31,Asia,Doctorate,Y,N,995,1880,South,135866.13,Year,N,Certified
32,Asia,Bachelor's,N,N,2415,1963,Midwest,72077.57,Year,N,Certified
33,Asia,High School,N,N,2395,2000,South,81921.18,Year,Y,Certified
34,Asia,Master's,N,N,1809,2010,South,225569.73,Year,N,Certified
35,Asia,High School,Y,N,5512,2001,Northeast,92421.92,Year,Y,Denied
36,Europe,High School,Y,N,2520,1981,West,2490.12,Year,Y,Denied
37,Europe,Master's,Y,Y,44,1965,South,110817.26,Year,Y,Certified
38,Asia,Bachelor's,Y,Y,2206,1909,Northeast,50960.01,Year,Y,Certified
39,Asia,Master's,N,N,3729,2007,Midwest,125336.9,Year,Y,Certified
40,Asia,Bachelor's,Y,N,3723,2011,West,39633.32,Year,Y,Certified
41,Asia,Master's,Y,N,1209,1989,Northeast,156326.33,Year,N,Certified
42,Europe,Doctorate,Y,N,19770,2005,West,43630.58,Year,Y,Certified
43,North America,Master's,Y,N,2582,1989,South,54614.42,Year,Y,Certified
44,Asia,High School,Y,N,5407,1998,West,28989.87,Year,Y,Denied
45,Europe,Bachelor's,N,Y,2092,1998,South,22924.91,Year,Y,Certified
46,Asia,Bachelor's,Y,N,2623,2008,South,61567.75,Year,Y,Certified
47,Asia,High School,Y,N,226,1991,Midwest,156251.17,Year,Y,Certified
48,Asia,Bachelor's,Y,N,2405,1933,South,86022.02,Year,Y,Certified
49,Asia,Doctorate,N,Y,2171,1960,Northeast,49565.37,Year,Y,Denied
50,Asia,Bachelor's,N,N,746,1991,Midwest,66191.41,Year,Y,Certified
51,Asia,Master's,Y,N,3129,2003,Midwest,95623.2,Year,N,Certified
52,Asia,Bachelor's,N,N,1647,1998,Midwest,115014.05,Year,Y,Certified
53,Asia,High School,Y,N,2438,1976,Midwest,35018.04,Year,Y,Certified
54,Asia,Master's,Y,N,11733,1995,Northeast,230.8072,Hour,Y,Certified
